parts,smiles
1-2,*CN(C)C*
2-2,*CN(C*)CC
3-2,*CN(C*)CCOC
4-2,*CN(C*)CCO
5-2,*CN(C*)C1CCCCC1
6-2,*CN(C*)c1ccccc1
7-2,*CN(C*)C1CCC(O)CC1
8-2,*CN(C*)CC(=O)OC
9-2,*CN(C*)CCN(C)C
10-2,*CN(C*)CCCN(C)C
11-2,*CN(C*)CCN(CC)CC
12-2,*CN(C*)CCCN(CC)CC
13-2,*CN(C*)CCN1CCCC1
14-2,*CN(C*)CCCN1CCCC1
15-2,*CN(C*)CCCn1ccnc1
16-2,*CN(C*)CCN1CCOCC1
17-2,*CN(C*)CCN1CCCCC1
18-2,*CN(C*)CCN1CCN(C)CC1
19-2,*CN1CCN(C*)CC1
20-2,*CN(C)CCCN(C)C*
21-2,*CN(CC)CCN(C*)CC
22-2,*CN(C)CCCN(C)CCCN(C)C*
23-3,*CC(CCO)CCN(C*)C*
24-4,*CN(C*)CCN(C*)C*
25-4,*CN(C*)CCCN(C*)C*
26-4,*CN(C*)CCOCCOCCN(C*)C*
27-4,*CN(C*)CCN(C)CCN(C*)C*
28-4,*CN(C*)CCCN(C)CCCN(C*)C*
29-6,*CC(C*)CCN(CCN(C*)C*)CCN(C*)C*
30-4,*CN(C*)CCCN1CCN(CCCN(C*)C*)CC1
A,*C#Cc1ccc(CCCC)cc1
B,*C#Cc1ccc(CCCCCC)cc1
C,*C#Cc1ccc(C2CCC(CCC)CC2)cc1