part,smiles
1T,CCCCCCCCCC*
2T,CCCCCCCCCCCC*
3T,CCCCCCCCCCCCCC*
4T,CCCCCCCCCCCCCCCC*
5T,CCCCCCCCCCCCCCCCCC*
6T,*CCCCCCCC/C=C\CCCCCCCC
7T,*NC(=O)CCCCCCCCCCCCCCC
8T,*NC(=O)CCCCCCCCCCCCCCCCC
9T,*CC(CCCCCC)CCCCCCCC
10T,*CC(=O)OCCCCCCCC
11T,*c1ccc(CCCCCCCC)cc1
12T,*c1ccc(CCCCCCCCCC)cc1
13T,*c1ccc(CCCCCCCCCCCC)cc1
14T,*c1ccc(OCCCCCCCCC)cc1
15T,*CC*
16T,*CCC*
17T,*CCCCC*
18T,*CCNCC*
19T,*CCN(C)CC*
20T,*CCN(CC*)CC*
21T,*CCCN(C)CCC*
22T,*CCCN(CCC*)CCC*
23T,*CCCN1CCN(CCC*)CC1
24T,*CCNCCN1CCN(CC*)CC1
25T,*CCCN(CCC*)CCCCN(CCC*)CCC*
O9,*NC(=N)CCCSCCC(=O)OCCCCCCCCC
O12,*NC(=N)CCCSCCC(=O)OCCCCCCCCCCCC
O14,*NC(=N)CCCSCCC(=O)OCCCCCCCCCCCCCC
O16,*NC(=N)CCCSCCC(=O)OCCCCCCCCCCCCCCCC