quantified_toxicity,Lipid_name
59.80392157,a6-1
70.58823529,a8-1
33.33333333,a10-1
54.90196078,a12-1
99.01960784,a14-1
99.01960784,e10-1
99.01960784,e12-1
89.21568627,e14-1
0.0,a16-1
87.25490196,a18-1
87.25490196,a12orn-1
89.21568627,a12dab-1
86.2745098,a12dap-1
68.62745098,aam12-1
89.21568627,aat12-1
99.01960784,a6-2
39.21568627,a8-2
29.41176471,a10-2
63.7254902,a12-2
83.33333333,a14-2
83.33333333,e10-2
93.1372549,e12-2
95.09803922,e14-2
94.11764706,a16-2
85.29411765,a18-2
93.1372549,a12orn-2
97.05882353,a12dab-2
93.1372549,a12dap-2
66.66666667,aam12-2
78.43137255,aat12-2
85.29411765,a6-3
35.29411765,a8-3
26.47058824,a10-3
39.21568627,a12-3
99.01960784,a14-3
85.29411765,e10-3
50.98039216,e12-3
57.84313725,e14-3
99.01960784,a16-3
86.2745098,a18-3
84.31372549,a12orn-3
100.0,a12dab-3
47.05882353,a12dap-3
56.8627451,aam12-3
91.17647059,aat12-3
88.23529412,a6-4
53.92156863,a8-4
50.98039216,a10-4
45.09803922,a12-4
48.03921569,a14-4
53.92156863,e10-4
76.47058824,e12-4
35.29411765,e14-4
90.19607843,a16-4
90.19607843,a18-4
99.01960784,a12orn-4
99.01960784,a12dab-4
77.45098039,a12dap-4
43.1372549,aam12-4
75.49019608,aat12-4
93.1372549,a6-5
68.62745098,a8-5
38.23529412,a10-5
50.0,a12-5
81.37254902,a14-5
70.58823529,e10-5
53.92156863,e12-5
40.19607843,e14-5
89.21568627,a16-5
93.1372549,a18-5
83.33333333,a12orn-5
85.29411765,a12dab-5
89.21568627,a12dap-5
69.60784314,aam12-5
83.33333333,aat12-5