parts,smiles
1A1,*NCCCC
2A1,*NCCCCCC
3A1,*NCCCCCCCC
4A1,*NCCCCCCCCCC
5A1,*NCCCCCCCCCCCC
6A1,*NCCCCCCCCCCCCCC
7A1,*N(CCCC)CCCC
8A1,*N(CCCCCC)CCCCCC
9A1,*N(CCCCCCCC)CCCCCCCC
10A1,*N(CCCCCCCCCC)CCCCCCCCCC
11A1,*N(CCCCCCCCCCCC)CCCCCCCCCCCC
12A1,*N(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC
13A1,*N(CCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCC
14A1,*[N+](CCCC)(CCCC)CCCC
15A1,*[N+](CCCCCC)(CCCCCC)CCCCCC
16A1,*[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC
17A1,*[N+](CCCCCCCCCC)(CCCCCCCCCC)CCCCCCCCCC
18A1,*[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC
19A2,*NCCOCCOCCN*
20A2,*NCCN1CCN(*)CC1
21A2,*NCCCN(*)CCCN(C)C
22A2,*NCCCNCCCN*
23A2,*NCCCN1CCN(CCCN*)CC1
24A2,*NCCNCCNCCN*
25A2,*NCCCNCCCNCCCN*
26A2,*N(C)CCN(CCNC)CCN(*)C
27A2,*NCCN(CCN)CCN*
28A2,*NCCNCCNCCNCCN*
20A3,*N(*)CCN1CCN(*)CC1
21A3,*N(*)CCCN(*)CCCN(C)C
22A3,*NCCCN(*)CCCN*
23A3,*NCCCN1CCN(CCCN(*)*)CC1
24A3,*NCCNCCN(*)CCN*
25A3,*NCCCNCCCN(*)CCCN*
26A3,*N(C)CCN(CCN(*)C)CCN(*)C
27A3,*NCCN(CCN*)CCN*
28A3,*NCCNCCNCCN(*)CCN*
23A4,*N(*)CCCN1CCN(CCCN(*)*)CC1
24A4,*NCCN(*)CCN(*)CCN*
25A4,*NCCCN(*)CCCN(*)CCCN*
26A4,*N(C)CCN(CCN(*)C)CC[N+](*)(*)C
27A4,*NCCN(CCN*)CCN(*)*
28A4,*NCCN(*)CCNCCN(*)CCN*
28A5,*NCCN(*)CCN(*)CCN(*)CCN*
P4,*CCOP(=O)(O)OCCCC
P5,*CCOP(=O)(O)OCCCCC
P6,*CCOP(=O)(O)OCCCCCC
P7,*CCOP(=O)(O)OCCCCCCC
P8,*CCOP(=O)(O)OCCCCCCCC
P9,*CCOP(=O)(O)OCCCCCCCCC
P10,*CCOP(=O)(O)OCCCCCCCCCC
P11,*CCOP(=O)(O)OCCCCCCCCCCC
P12,*CCOP(=O)(O)OCCCCCCCCCCCC
P13,*CCOP(=O)(O)OCCCCCCCCCCCCC
P14,*CCOP(=O)(O)OCCCCCCCCCCCCCC
P15,*CCOP(=O)(O)OCCCCCCCCCCCCCCC
P16,*CCOP(=O)(O)OCCCCCCCCCCCCCCCC