Cell viability,Lipid_name
79.23497268,AM-C10
90.43715847,AM-C11
101.9125683,AM-C12
104.9180328,AM-C13
91.53005464,AM-C14
95.08196721,AM-C16
85.79234973,GN-C10
121.3114754,GN-C11
76.50273224,GN-C12
68.03278689,GN-C13
106.557377,PR-C11
98.08743169,HG-C10
90.43715847,HG-C11
100.5464481,HG-C12
107.1038251,HG-C13
105.4644809,HG-C14
121.3114754,HG-C16
116.9398907,KN-C11
112.0218579,KN-C12
47.26775956,KN-C13
83.60655738,AP-C14
105.4644809,RB-C10
68.85245902,RB-C12
70.76502732,GT-C11
74.59016393,GT-C12
54.09836066,GT-C13
69.94535519,GT-C14
39.07103825,ST-C11
18.30601093,ST-C12